dataset_name,D,Errors_train,Errors_test,Resolution_time
iris,2,1,3,1.0
iris,3,0,0,1.1
iris,4,0,1,16.3
seeds,2,0,1,1.0
seeds,3,0,0,6.6
seeds,4,2,5,30.3
wine,2,0,1,0.4
wine,3,0,1,0.7
wine,4,0,1,4.9
titanic,2,42,20,30.1
titanic,3,140,36,30.2
titanic,4,201,50,30.2
penguins,2,0,1,0.7
penguins,3,0,1,7.0
penguins,4,159,32,30.4
